Lesson ID,Lesson Title,Lesson Category,Block Order,Block Type,Ol Chiki,Latin,Audio URL,Image URL,Emotion,Story Arc,Growth Value,Character Goal,Image Direction,Body Language,Learning Moment
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,0,text,᱑,1 – One,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2260dfbac480383af0/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,1,text,᱒,2 – Two,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2260fce34b8a5857b7/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,2,text,᱓,3 – Three,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22610d537f00441960/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,3,text,᱔,4 – Four,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22612178d9884bcd97/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,4,text,᱕,5 – Five,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22614681e20cc20e2f/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,5,text,᱖,6 – Six,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22615b90c68e458920/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,6,text,᱗,7 – Seven,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2261871bd50415df8d/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,7,text,᱘,8 – Eight,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22619fafc80345fadd/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_0_9,Numbers 0-9,cat_numbers_1778594019015,8,text,᱙,9 – Nine,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a2261b5101d0f0b60df/view?project=699495910038e39622c5,,,,,,,,
lesson_alphabet_0,Basics of Ol Chiki,cat_alphabets_1778594017948,0,text,ᱚᱞ ᱪᱤᱠᱤ,Ol Chiki is the writing system for the Santali language,,,,,,,,,
lesson_alphabet_0,Basics of Ol Chiki,cat_alphabets_1778594017948,1,text,ᱚ,"Letter ""a"" – the first letter of Ol Chiki",,,,,,,,,
lesson_alphabet_0,Basics of Ol Chiki,cat_alphabets_1778594017948,2,text,ᱛ,"Letter ""at"" – used in words like ᱛᱟᱞᱟ (below)",,,,,,,,,
lesson_alphabet_0,Basics of Ol Chiki,cat_alphabets_1778594017948,3,text,ᱚᱛ,"Practice: Combine ᱚ + ᱛ to form ""at""",,,,,,,,,
lesson_alphabet_1,Vowels I,cat_alphabets_1778594017948,0,text,ᱚ,"Vowel ""a"" – open sound, as in ""father""",,,,,,,,,
lesson_alphabet_1,Vowels I,cat_alphabets_1778594017948,0,text,ᱟ,"Vowel ""aa"" – elongated open sound",,,,,,,,,
lesson_alphabet_1,Vowels I,cat_alphabets_1778594017948,0,text,ᱤ,"Vowel ""i"" – short ""i"" sound as in ""sit""",,,,,,,,,
lesson_alphabet_1,Vowels I,cat_alphabets_1778594017948,0,text,ᱩ,"Vowel ""u"" – sound as in ""put""",,,,,,,,,
lesson_alphabet_1,Vowels I,cat_alphabets_1778594017948,0,text,ᱮ,"Vowel ""e"" – short ""e"" sound as in ""bed""",,,,,,,,,
lesson_alphabet_2,Consonants I,cat_alphabets_1778594017948,0,text,ᱜ,"Consonant ""ag"" – as in ᱜᱟᱰᱟ (river)",,,,,,,,,
lesson_alphabet_2,Consonants I,cat_alphabets_1778594017948,0,text,ᱝ,"Consonant ""ang"" – nasal sound",,,,,,,,,
lesson_alphabet_2,Consonants I,cat_alphabets_1778594017948,0,text,ᱞ,"Consonant ""al"" – as in ᱞᱟᱹᱭ (to take)",,,,,,,,,
lesson_alphabet_2,Consonants I,cat_alphabets_1778594017948,0,text,ᱠ,"Consonant ""ak"" – as in ᱠᱟᱹᱢᱤ (work)",,,,,,,,,
lesson_alphabet_2,Consonants I,cat_alphabets_1778594017948,0,text,ᱡ,"Consonant ""aj"" – as in ᱡᱚᱦᱟᱨ (hello)",,,,,,,,,
lesson_alphabet_3,Consonants II,cat_alphabets_1778594017948,0,text,ᱪ,"Consonant ""ach"" – as in ᱪᱮᱛᱟᱱ (field)",,,,,,,,,
lesson_alphabet_3,Consonants II,cat_alphabets_1778594017948,0,text,ᱫ,"Consonant ""ad"" – as in ᱫᱟᱠᱟ (food/rice)",,,,,,,,,
lesson_alphabet_3,Consonants II,cat_alphabets_1778594017948,0,text,ᱯ,"Consonant ""ap"" – as in ᱯᱟᱱᱛᱮ (path)",,,,,,,,,
lesson_alphabet_3,Consonants II,cat_alphabets_1778594017948,0,text,ᱢ,"Consonant ""am"" – as in ᱢᱟᱹᱡᱷᱤ (village head)",,,,,,,,,
lesson_alphabet_4,Vowels II,cat_alphabets_1778594017948,0,text,ᱳ,"Vowel ""o"" – rounded sound as in ""go""",,,,,,,,,
lesson_alphabet_4,Vowels II,cat_alphabets_1778594017948,0,text,ᱚᱦ,"Vowel combination ""ah"" – aspirated",,,,,,,,,
lesson_alphabet_4,Vowels II,cat_alphabets_1778594017948,0,text,ᱟᱹ,"Modified vowel ""aa"" – checked vowel variant",,,,,,,,,
lesson_alphabet_4,Vowels II,cat_alphabets_1778594017948,0,text,ᱮᱹ,"Modified vowel ""e"" – nasalized variant",,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,0,text,᱑᱐,10 – Ten,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e2db5270b6dabe6/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,1,text,᱑᱑,11 – Eleven,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e40e2518d9371df/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,2,text,᱑᱒,12 – Twelve,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e531c1384ef2a57/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,3,text,᱑᱓,13 – Thirteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e6d6fd101c0cbfd/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,4,text,᱑૪,14 – Fourteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e844c2c09d9f17c/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,5,text,᱑૫,15 – Fifteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225e961b198dfe71e4/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,6,text,᱑૬,16 – Sixteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22604b6e5a0aedd3bb/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,7,text,᱑૭,17 – Seventeen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225f8f88f68d1dc703/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,8,text,᱑૮,18 – Eighteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a22603679d385c9af5c/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,9,text,᱑૯,19 – Nineteen,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225fd54ca903e4f635/view?project=699495910038e39622c5,,,,,,,,
lesson_numbers_10_20,Numbers 10-20,cat_numbers_1778594019015,10,text,᱒᱐,20 – Twenty,https://sgp.cloud.appwrite.io/v1/storage/buckets/audio/files/6a225ef14bed8faddd31/view?project=699495910038e39622c5,,,,,,,,
