ID,Sentence Ol Chiki,Sentence Latin,Meaning,Usage,Category,Audio URL,Image URL,Pronunciation,Order Index,Animation URL,Order,Is Active,Theme Color,Hero Media,Blocks,Tracing,Updated At
s47,ᱪᱮᱫ ᱠᱷᱚᱵᱚᱨ?,Ced khobor?,What's the news?,,conversations,,,Ched kho-bor?,0,,35,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nWhat's the news?""}]",,2026-05-25T05:34:29.168+00:00
s48,ᱡᱷᱚᱛᱚᱣᱟᱜ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ,Jhotowag napay geya,Everything is fine,,conversations,,,Jho-to-wag na-pay ge-ya,0,,36,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nEverything is fine""}]",,2026-05-25T05:34:29.564+00:00
s49,ᱟᱢ ᱛᱤᱥ ᱮᱢ ᱨᱩᱣᱟᱹᱲᱟ?,Am tis em ruwara?,When will you return?,,conversations,,,Am tis em ru-wa-ra?,0,,37,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nWhen will you return?""}]",,2026-05-25T05:34:29.782+00:00
s50,ᱤᱧ ᱫᱚ ᱜᱟᱯᱟᱧ ᱨᱩᱣᱟᱹᱲᱟ,In do gapanj ruwara,I will return tomorrow,,conversations,,,In do ga-panj ru-wa-ra,0,,38,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nI will return tomorrow""}]",,2026-05-25T05:34:29.994+00:00
s51,ᱫᱮᱞᱟ ᱵᱚᱱ ᱫᱟᱠᱟ ᱵᱚᱱ ᱡᱚᱢᱼᱟ,Dela bon daka bon jom-a,"Come, let's eat food",,conversations,,,De-la bon da-ka bon jom-a,0,,39,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nCome, let's eat food""}]",,2026-05-25T05:34:30.222+00:00
s52,ᱟᱹᱰᱤ ᱨᱟᱹᱥᱠᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱼᱟ,Adi raskanj bujhaw ked-a,I felt very happy,,conversations,,,A-di ras-kanj bu-jhaw ked-a,0,,40,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nI felt very happy""}]",,2026-05-25T05:34:30.338+00:00
s53,ᱟᱹᱰᱤ ᱟᱹᱰᱤ ᱥᱟᱨᱦᱟᱣ,Adi adi sarhaw,Thank you very much,,polite,,,A-di a-di sar-haw,0,,48,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nThank you very much""}]",,2026-05-25T05:34:30.644+00:00
s54,ᱡᱚᱦᱟᱨ ᱜᱮ ᱢᱟᱨᱟᱝ ᱵᱟᱵᱟ,Johar ge marang baba,"Greetings, respected uncle",,polite,,,Jo-har ge ma-rang ba-ba,0,,49,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nGreetings, respected uncle""}]",,2026-05-25T05:34:30.847+00:00
s55,ᱡᱚᱦᱟᱨ ᱜᱮ ᱢᱟᱨᱟᱝ ᱟᱭᱳ,Johar ge marang ayo,"Greetings, respected aunt",,polite,,,Jo-har ge ma-rang a-yo,0,,50,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nGreetings, respected aunt""}]",,2026-05-25T05:34:30.952+00:00
s56,ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱟᱹᱰᱤ ᱨᱟᱹᱥᱠᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱼᱟ,Am saw njapam kate adi raskanj bujhaw ked-a,Nice to meet you,,polite,,,Am saw nya-pam ka-te a-di ras-kanj bu-jhaw ked-a,0,,51,true,,,"[{""id"":""meaning_block"",""order"":0,""type"":""text"",""markdown"":""### Translation\nNice to meet you""}]",,2026-05-25T05:34:31.172+00:00
